total_num_steps,causal_influence_kl_agent0,causal_influence_kl_agent1,causal_influence_kl_mean,causal_influence_value_sensitivity_agent0,causal_influence_value_sensitivity_agent1,causal_influence_value_sensitivity_mean
710400,0.1339524537883699,0.10507304349914193,0.11951274864375591,0.7263869850337505,0.7156222774088383,0.7210046312212944
742400,0.15278676018118859,0.20892979487776756,0.18085827752947808,1.0167277097702025,0.9855691352486611,1.0011484225094318
774400,0.18220995243638755,0.14158798024058342,0.1618989663384855,0.6030642744898796,0.60000712454319,0.6015356995165348
806400,0.19955281998962163,0.04526302503421903,0.12240792251192033,1.153093548566103,1.1518826293945312,1.152488088980317
838400,0.16464391231536865,0.10141092294827103,0.13302741763181986,0.2711383927240968,0.2274580375663936,0.2492982151452452
870400,0.2859755071997643,0.3185816505551338,0.302278578877449,0.13453511834144594,0.10738079488277436,0.12095795661211015
902400,0.15256929010152817,0.2207463327050209,0.18665781140327453,0.7943143686652183,0.8192589184641839,0.8067866435647011
934400,0.2144655494997278,0.2575616130698472,0.2360135812847875,0.9950368542969227,0.9943589919060468,0.9946979231014847
966400,0.45033162117004394,0.1568029765598476,0.30356729886494577,0.16287083983421324,0.19852390006184578,0.1806973699480295
998400,0.2109030022472143,0.2146887133270502,0.21279585778713225,0.4146144141256809,0.4390543258190155,0.4268343699723482
1030400,0.027402829453349112,0.0874890777375549,0.05744595359545201,0.7496761824190616,0.7795119616389274,0.7645940720289945
1062400,0.13520090728998185,0.22181517831981182,0.17850804280489685,0.5404378533363342,0.5210997376590967,0.5307687954977154
1094400,0.25122088387608527,0.19740505818277598,0.22431297102943062,0.23162388987839222,0.18069482535123826,0.20615935761481524
1126400,0.326648506782949,0.1826767691411078,0.25466263796202837,2.045603427886963,1.931933789253235,1.988768608570099
1158400,0.21587700642645358,0.5601986727491021,0.3880378395877778,0.03052235670387745,0.04425455441698432,0.03738845556043088
1190400,0.5954455399513244,0.18453849226236343,0.3899920161068439,0.6032445950806141,0.6524295181035995,0.6278370565921068
1222400,0.2730665868520737,0.5844836103916168,0.42877509862184526,1.3483647388219833,1.3069914066791535,1.3276780727505684
1254400,0.49007601365447045,0.34152263224124907,0.41579932294785976,0.45023452207446096,0.3700321297347546,0.41013332590460777
1286400,0.8759466116130352,0.45794263154268267,0.6669446215778589,2.156847166419029,2.1634659028053282,2.1601565346121787
1318400,0.527132116779685,0.3075768323242664,0.4173544745519757,0.26566903145983817,0.22882753306999803,0.2472482822649181
1350400,0.5190115030109882,0.36085666161030533,0.4399340823106468,0.258132301568985,0.26413354024291036,0.26113292090594764
1382400,0.22965068669989705,0.18047187879681587,0.20506128274835644,0.1650136137753725,0.1617206458747387,0.16336712982505558
1414400,0.4443373800627887,0.2815137102454901,0.36292554515413944,0.9910015117377042,0.9835229257494211,0.9872622187435627
1446400,0.3882313066162169,0.4963631372153759,0.4422972219157964,0.27010669857263564,0.32629375621676443,0.29820022739470003
1478400,0.45016854183748367,0.6073720058985055,0.5287702738679946,1.4076795443892478,1.4222843483090402,1.414981946349144
1510400,0.4748115726560354,0.33867555975914,0.40674356620758767,0.11773980244994163,0.12578099247068167,0.12176039746031164
1542400,0.5143372053280473,0.4299641450494528,0.47215067518875004,0.2228247319534421,0.18260739482939242,0.20271606339141726
1574400,0.09392145182937384,0.5520118466764689,0.32296664925292135,0.9400182345509529,0.9525179770588875,0.9462681058049203
1606400,0.4661679407954216,0.5066129733622075,0.48639045707881456,0.024418928027153015,0.061085407137870786,0.0427521675825119
1638400,0.5013689127936959,0.39607836030423643,0.4487236365489662,0.08976716607809067,0.11141598790884018,0.10059157699346542
1670400,0.3718956185877323,0.3471379368007183,0.3595167776942253,0.08731283351778985,0.07135301157832145,0.07933292254805566
1702400,0.38487736582756044,0.2906321373581886,0.3377547515928745,1.6614274215698241,1.6512725001573563,1.65634996086359
1734400,0.5971809255331755,0.26875574350357057,0.432968334518373,0.906989216208458,0.8889927995204926,0.8979910078644753
1766400,0.8050405555963516,0.25818036511540415,0.5316104603558779,0.7525207980722189,0.7318384869396687,0.7421796425059438
1798400,0.5978240446746349,0.5140809057652951,0.5559524752199649,0.1823596829175949,0.17938281893730162,0.18087125092744827
1830400,0.8191975100338459,0.9905122461169958,0.9048548780754209,1.0194721109420062,1.012371134608984,1.0159216227754952
1862400,0.7781265666335822,0.5625088043510914,0.6703176854923367,0.55137072712183,0.5555419108271599,0.553456318974495
1894400,0.5884548240900039,0.7030617928504944,0.6457583084702492,0.9023269578814507,0.8500322017073632,0.876179579794407
1926400,0.45435082003474236,0.9705402234196663,0.7124455217272043,0.044409855902194977,0.04894913971424103,0.04667949780821801
1958400,1.1028974599950017,1.2128222278133034,1.1578598439041525,0.1621370354294777,0.15820804968476296,0.16017254255712032
1990400,0.7948956609517336,0.7557416642084718,0.7753186625801027,0.3683729488402605,0.4136552780121565,0.3910141134262085
2022400,0.7074565078131855,0.8729608431831002,0.7902086754981428,0.20447039730846883,0.19806843154132367,0.20126941442489626
2054400,0.8353570272028447,0.6725348527356982,0.7539459399692714,0.6595904039591551,0.653179218545556,0.6563848112523556
2086400,0.7863009770214557,0.6912575437128544,0.738779260367155,0.2462053856253624,0.23027572989463807,0.23824055776000025
2118400,0.9982317385077476,1.3123954418301582,1.1553135901689529,0.4846843612194061,0.4915287734568119,0.488106567338109
2150400,0.7855296877399087,0.8563894894719124,0.8209595886059106,0.16520280741155147,0.16255477033555507,0.16387878887355328
2182400,0.5259260425716639,0.9311984124779701,0.7285622275248169,0.1307417246699333,0.12180315852165222,0.12627244159579276
2214400,0.664901231713593,1.5845396900177002,1.1247204608656467,0.3289581800997257,0.3194966250658035,0.3242274025827646
2246400,0.7127710532397031,1.5163636910915375,1.1145673721656202,0.9725394636392594,0.925533403456211,0.9490364335477353
2278400,1.2569001978635788,1.666564781665802,1.4617324897646904,0.17928626462817193,0.18385945215821267,0.18157285839319232
